name;gender;Great Britain;Ireland;U.S.A.;Italy;Malta;Portugal;Spain;France;Belgium;Luxembourg;the Netherlands;East Frisia;Germany;Austria;Swiss;Iceland;Denmark;Norway;Sweden;Finland;Estonia;Latvia;Lithuania;Poland;Czech Republic;Slovakia;Hungary;Romania;Bulgaria;Bosnia and Herzegovina;Croatia;Kosovo;Macedonia;Montenegro;Serbia;Slovenia;Albania;Greece;Russia;Belarus;Moldova;Ukraine;Armenia;Azerbaijan;Georgia;Kazakhstan/Uzbekistan,etc.;Turkey;Arabia/Persia;Israel;China;India/Sri Lanka;Japan;Korea;Vietnam;other countries
Aaron;M;-7;-7;-3;;-5;;;;-7;;;;-7;-8;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3;;;;;;
Aarron;M;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abbey;F;-8;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abbie;F;-8;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abby;F;-8;;-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abigail;F;-6;-8;-5;;;;;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abigayle;F;-8;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abraham;M;-8;-8;-6;;;;-7;;-8;;-8;;-8;-8;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3;;;;;;
Ada;F;-4;;-7;-3;;;;-8;-8;-8;-5;-7;;;-7;;;-8;;;;-8;;;;;;-6;;;;;;;;;-5;;;;-6;;;-5;;;;;-3;;;;;;
Adair;?M;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adam;M;-4;-6;-3;;;;;;;;;-6;-7;-6;-8;-6;-6;;-6;;;;;-1;-6;-5;;-7;;-6;;;;;;;;-7;;;;;;;;;;;-5;;;;;;
Adda;?;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adela;F;;;;-8;;;-4;;;;;;-8;-8;-8;;-8;;;;;;;-6;;-6;;-4;-8;-4;-7;;;;;-6;-5;;;;-7;;;;;;;;-7;;;;;;
Adelaide;F;-7;;-8;-5;;-3;;;;;;;;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adele;F;-6;;-7;-3;;;;;;;;-5;-7;-5;-7;;-8;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adeline;F;-8;;-8;;;;;-4;-6;-6;;;-8;;-7;;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adelle;F;-8;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aden;M;-8;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-8;;;;;;;;;;
